variant,kind,module,head,baseline_mse,ablated_mse,delta
late_crossattn,layer,drug_encoder.layers.0.self_attn,,1.9741803705692291,1.4696225374937057,-0.5045578330755234
late_crossattn,layer,prot_encoder.layers.0.self_attn,,1.9741803705692291,1.920835703611374,-0.053344666957855225
late_crossattn,layer,cross_attn_layers.0.drug_attends_protein,,1.9741803705692291,2.350696623325348,0.3765162527561188
late_crossattn,layer,cross_attn_layers.0.protein_attends_drug,,1.9741803705692291,1.5101271271705627,-0.4640532433986664
late_crossattn,head,drug_encoder.layers.0.self_attn,0,1.9741803705692291,1.527555227279663,-0.44662514328956604
late_crossattn,head,drug_encoder.layers.0.self_attn,1,1.9741803705692291,1.9995033740997314,0.02532300353050232
late_crossattn,head,drug_encoder.layers.0.self_attn,2,1.9741803705692291,1.5152129828929901,-0.458967387676239
late_crossattn,head,drug_encoder.layers.0.self_attn,3,1.9741803705692291,1.7180536091327667,-0.2561267614364624
late_crossattn,head,prot_encoder.layers.0.self_attn,0,1.9741803705692291,2.042200654745102,0.0680202841758728
late_crossattn,head,prot_encoder.layers.0.self_attn,1,1.9741803705692291,2.002070814371109,0.027890443801879883
late_crossattn,head,prot_encoder.layers.0.self_attn,2,1.9741803705692291,1.8750515282154083,-0.0991288423538208
late_crossattn,head,prot_encoder.layers.0.self_attn,3,1.9741803705692291,1.878259390592575,-0.09592097997665405
late_crossattn,head,cross_attn_layers.0.drug_attends_protein,0,1.9741803705692291,1.935974359512329,-0.038206011056900024
late_crossattn,head,cross_attn_layers.0.drug_attends_protein,1,1.9741803705692291,1.8489457070827484,-0.1252346634864807
late_crossattn,head,cross_attn_layers.0.drug_attends_protein,2,1.9741803705692291,2.2810694575309753,0.3068890869617462
late_crossattn,head,cross_attn_layers.0.drug_attends_protein,3,1.9741803705692291,1.9888075590133667,0.014627188444137573
late_crossattn,head,cross_attn_layers.0.protein_attends_drug,0,1.9741803705692291,1.6137110590934753,-0.3604693114757538
late_crossattn,head,cross_attn_layers.0.protein_attends_drug,1,1.9741803705692291,1.6367660462856293,-0.33741432428359985
late_crossattn,head,cross_attn_layers.0.protein_attends_drug,2,1.9741803705692291,1.6418258249759674,-0.3323545455932617
